cosine_similarity,chunk_a,leader_a,chunk_b,leader_b,excerpt_a,excerpt_b
0.74938935,erdogan2022_c017,erdogan,merkel1_c011,merkel,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Dafür braucht es einen offenen Blick auf die Welt und Selbstvertrauen – in uns und unser Land.  Zusammenhalt, Offenheit, unsere Demokratie und eine starke Wirtschaft, die dem Wohl aller dient: Das ist"
0.7488982,erdogan2022_c017,erdogan,macron2022_c008,macron,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","2022 fut aussi une fois encore une année de rayonnement artistique, culturel, sportif de notre pays, avec deux Prix Nobel, et tant de grands moments de création et de sport. De tout cela, de tout ce q"
0.74860704,erdogan2022_c017,erdogan,macron2024_c021,macron,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş",C’est pour cela qu’en 2025 nous continuerons de décider et je vous demanderai aussi de trancher certains de ces sujets déterminants. Car chacun d’entre vous aura un rôle à jouer. Chacun d’entre vous s
0.7465173,erdogan2024_c000,erdogan,macron2025_c016,macron,"Aziz Milletim…  Hepinizi en kalbi duygularımla, muhabbetle selamlıyorum.  Bugün 2024’e veda ediyor; yeni umut, beklenti ve hayallerle 2025 senesini karşılıyoruz.  Öncelikle yeni miladi yılın ülkemiz, ","Mes chers compatriotes de France hexagonale, de nos Outre-mer et vivants à l'étranger, je vous souhaite une très belle, une très heureuse année 2026.  Vive la République ! Vive la France !"
0.7464103,erdogan2024_c015,erdogan,merkel2_c010,merkel,"Rabbim bizleri hizmetkarı olmaktan şeref duyduğumuz aziz milletimize ve umudunu Türkiye’ye bağlamış yüz milyonlarca mazluma mahcup etmesin diyorum.  Bu temennilerle yeni takvim yılının ülkemiz, millet","Dass wir uns wieder stärker bewusst werden, was uns im Innersten zusammenhält, dass wir wieder deutlicher das Gemeinsame in den Vordergrund stellen, dass wir uns bemühen, wieder mehr Achtung vor dem a"
0.745054,erdogan2022_c017,erdogan,merkel2020_c000,merkel,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Liebe Mitbürgerinnen und Mitbürger,  heute Abend stehen wir nicht nur am Beginn eines neuen Jahres, sondern auch eines neuen Jahrzehnts. Ich bin überzeugt: Wir haben gute Gründe, zuversichtlich zu sei"
0.7438822,erdogan2022_c017,erdogan,macron2022_c018,macron,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Et comme vous, je m’impatiente, mais sans jamais céder à la facilité ou à la fatalité. Aussi, je nous souhaite pour 2023 par notre travail et notre engagement d’œuvrer à refonder une France plus forte"
0.74327654,erdogan2022_c017,erdogan,macron2022_c034,macron,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Ensemble, nous allons réussir.  Et c’est fort de cette confiance que je vous présente tous mes vœux pour cette année nouvelle.  Vive la République.  Vive la France."
0.7419665,erdogan2024_c015,erdogan,macron2023_c000,macron,"Rabbim bizleri hizmetkarı olmaktan şeref duyduğumuz aziz milletimize ve umudunu Türkiye’ye bağlamış yüz milyonlarca mazluma mahcup etmesin diyorum.  Bu temennilerle yeni takvim yılının ülkemiz, millet","Françaises, Français, de métropole, de nos outre-mer et de l’étranger,  En vous présentant mes vœux, je veux commencer par exprimer notre gratitude à tous pour nos compatriotes qui, ce soir encore, pr"
0.7417929,erdogan2025_c018,erdogan,merkel2020_c011,merkel,"Rabbim yar ve yardımcımız olsun, diyorum.  Türkiye Yüzyılı ülkümüze destek olan herkese teşekkür ediyorum.  Bu düşüncelerle yeni miladi yılınızı tebrik ediyor; 2026’nın ülkemiz, milletimiz, bölgemiz v","Ein neues Jahrzehnt liegt vor uns. Die 20er Jahre können gute Jahre werden. Überraschen wir uns einmal mehr damit, was wir können. Veränderungen zum Guten sind möglich, wenn wir uns offen und entschlo"
0.74172205,erdogan2025_c018,erdogan,macron2023_c000,macron,"Rabbim yar ve yardımcımız olsun, diyorum.  Türkiye Yüzyılı ülkümüze destek olan herkese teşekkür ediyorum.  Bu düşüncelerle yeni miladi yılınızı tebrik ediyor; 2026’nın ülkemiz, milletimiz, bölgemiz v","Françaises, Français, de métropole, de nos outre-mer et de l’étranger,  En vous présentant mes vœux, je veux commencer par exprimer notre gratitude à tous pour nos compatriotes qui, ce soir encore, pr"
0.74132836,macron2022_c031,macron,putin2025_c003,putin,"Mes chers compatriotes,  Je veux ici et ce soir en votre nom dire à nos amis Ukrainiens : nous vous respectons et nous vous admirons. Votre combat pour la défense de votre nation est héroïque et il no","You have taken upon yourselves the duty of fighting for our native land, for truth and for justice. On this New Year’s Eve, millions of people across Russia, I assure you, are with you: they think of "
0.74090505,erdogan2023_c018,erdogan,macron2022_c002,macron,"Evet, 2023 hedefleri başlangıçtı; asıl çıkışımızı Türkiye Yüzyılıyla, 2024’le birlikte başlatıyoruz.  Bu mücadeleyi de, sizlerin desteğiyle zafere ulaştıracağımıza yürekten inanıyoruz.  Bu duygularla ","Si nous cédions à l’esprit de division qui nous presse de toute part, nous n’aurions à peu près aucune chance de nous en sortir, dans un monde si rude, dans des temps si durs. Alors je nous souhaite d"
0.74026257,macron2022_c034,macron,merkel3_c010,merkel,"Ensemble, nous allons réussir.  Et c’est fort de cette confiance que je vous présente tous mes vœux pour cette année nouvelle.  Vive la République.  Vive la France.","Da, wo wir an unsere Werte glauben und unsere Ideen mit Tatkraft umsetzen, da kann Neues und Gutes entstehen. Daraus können die Kräfte erwachsen, die wir brauchen, um Schritt für Schritt die Probleme "
0.7399772,erdogan2022_c017,erdogan,putin2022_c010,putin,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.7399182,merkel2020_c000,merkel,putin2024_c000,putin,"Liebe Mitbürgerinnen und Mitbürger,  heute Abend stehen wir nicht nur am Beginn eines neuen Jahres, sondern auch eines neuen Jahrzehnts. Ich bin überzeugt: Wir haben gute Gründe, zuversichtlich zu sei","Citizens of Russia, friends,  In just a few minutes, the year 2025 will begin, marking the completion of the first quarter of the 21st century.  For Russia, this period has been marked by numerous eve"
0.7389184,erdogan2023_c018,erdogan,macron2023_c024,macron,"Evet, 2023 hedefleri başlangıçtı; asıl çıkışımızı Türkiye Yüzyılıyla, 2024’le birlikte başlatıyoruz.  Bu mücadeleyi de, sizlerin desteğiyle zafere ulaştıracağımıza yürekten inanıyoruz.  Bu duygularla ","Et notre Histoire toute entière nous enseigne que la volonté de quelques-uns peut abattre toutes les fatalités. Alors à nous de faire, oui, d’agir ensemble, de continuer de dépasser les clivages, les "
