check,comparison,metric,value,material_change,note
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,framing_leader_order_spearman_cooperation_solidarity_framing,0.6,False,5 leaders
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,dispersion_speech_to_leader_spearman,0.9,False,5 leaders
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,knn_same_leader_share_erdogan,0.995 | 0.991,False,A | B
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,knn_same_leader_share_macron,0.958 | 0.949,False,A | B
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,knn_same_leader_share_merkel,0.689 | 0.660,False,A | B
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,knn_same_leader_share_putin,0.919 | 0.873,False,A | B
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,knn_same_leader_share_trump,0.867 | 0.820,False,A | B
C,bge_m3 all content vs bge_m3 ceremonial removed,leader_pair_similarity_spearman,0.9515,False,10 leader pairs
C,bge_m3 all content vs bge_m3 ceremonial removed,leader_pair_similarity_pearson,0.9897,False,10 leader pairs
C,bge_m3 all content vs bge_m3 ceremonial removed,most_similar_pair,macron–merkel | erdogan–macron,True,A | B
C,bge_m3 all content vs bge_m3 ceremonial removed,least_similar_pair,putin–trump | putin–trump,False,A | B
C,bge_m3 all content vs bge_m3 ceremonial removed,mean_offdiagonal_similarity,0.880 | 0.885,False,A | B
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_profile_spearman_erdogan,0.881,False,8 themes
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_top3_overlap_erdogan,3.0,False,of 3
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_profile_spearman_macron,0.9762,False,8 themes
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_top3_overlap_macron,3.0,False,of 3
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_profile_spearman_merkel,1.0,False,8 themes
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_top3_overlap_merkel,3.0,False,of 3
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_profile_spearman_putin,0.9762,False,8 themes
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_top3_overlap_putin,3.0,False,of 3
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_profile_spearman_trump,0.8333,False,8 themes
C,bge_m3 all content vs bge_m3 ceremonial removed,theme_top3_overlap_trump,2.0,False,of 3
C,bge_m3 all content vs bge_m3 ceremonial removed,framing_leader_order_spearman_conflict_threat_framing,1.0,False,5 leaders
C,bge_m3 all content vs bge_m3 ceremonial removed,framing_leader_order_spearman_cooperation_solidarity_framing,1.0,False,5 leaders
C,bge_m3 all content vs bge_m3 ceremonial removed,dispersion_speech_to_leader_spearman,0.9,False,5 leaders
C,bge_m3 all content vs bge_m3 ceremonial removed,knn_same_leader_share_erdogan,0.473 | 0.467,False,A | B
C,bge_m3 all content vs bge_m3 ceremonial removed,knn_same_leader_share_macron,0.664 | 0.654,False,A | B
C,bge_m3 all content vs bge_m3 ceremonial removed,knn_same_leader_share_merkel,0.517 | 0.505,False,A | B
C,bge_m3 all content vs bge_m3 ceremonial removed,knn_same_leader_share_putin,0.827 | 0.735,False,A | B
C,bge_m3 all content vs bge_m3 ceremonial removed,knn_same_leader_share_trump,0.660 | 0.672,False,A | B
D,centroid vs cross-neighbour,spearman_centroid_vs_cross_neighbor_similarity,0.6121,False,10 pairs
D,centroid vs cross-neighbour,spearman_centroid_vs_knn_share,0.903,False,10 pairs
D,centroid vs cross-neighbour,top_pair_centroid,putin–trump,False,
D,centroid vs cross-neighbour,top_pair_cross_neighbor,putin–trump,False,
E,without trump2,similarity_trump_erdogan,0.593 → 0.599,False,with → without
E,without trump2,similarity_trump_macron,0.633 → 0.642,False,with → without
E,without trump2,similarity_trump_merkel,0.660 → 0.670,False,with → without
E,without trump2,similarity_trump_putin,0.744 → 0.756,False,with → without
E,without trump2,top3_themes_trump,"['Economy & Welfare', 'Security & Military', 'Democracy, Law & Institutions'] → ['Foreign Policy & Geopolitics', 'National Identity & Unity', 'Security & Military']",True,
F,embedding vs NLI,leader_theme_spearman_erdogan,0.5238,False,8 themes
F,matched vs English descriptions,leader_theme_spearman_erdogan,0.619,False,8 themes
F,embedding vs NLI,leader_theme_spearman_macron,-0.2857,True,8 themes
F,matched vs English descriptions,leader_theme_spearman_macron,0.9524,False,8 themes
F,embedding vs NLI,leader_theme_spearman_merkel,0.0952,True,8 themes
F,matched vs English descriptions,leader_theme_spearman_merkel,0.9762,False,8 themes
F,embedding vs NLI,leader_theme_spearman_putin,0.7381,False,8 themes
F,matched vs English descriptions,leader_theme_spearman_putin,1.0,False,8 themes
F,embedding vs NLI,leader_theme_spearman_trump,0.4286,True,8 themes
F,matched vs English descriptions,leader_theme_spearman_trump,1.0,False,8 themes
